,fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,total_point,efficiency
0,34.7,25.0,69.9,4.1,1.9,0.4,0.4,1.3,0,266.40000000000003,0.27007299270072993
1,29.6,23.5,76.5,2.4,3.7,1.1,0.5,1.6,0,252.0,0.2676579925650558
2,42.2,24.4,67.0,2.2,1.0,0.5,0.3,1.0,0,384.8,0.33986928104575165
3,42.6,22.6,68.9,1.9,0.8,0.6,0.1,1.0,1,330.6,0.4913793103448276
4,52.4,0.0,67.4,2.5,0.3,0.3,0.4,0.8,1,216.0,0.391304347826087
5,42.3,32.5,73.2,0.8,1.8,0.4,0.0,0.7,0,277.5,0.32456140350877194
6,43.5,50.0,81.1,2.0,0.6,0.2,0.1,0.7,1,409.2,0.6055045871559632
7,41.5,30.0,87.5,1.7,0.2,0.2,0.1,0.7,1,273.6,0.5533980582524272
8,39.2,23.3,71.4,0.8,2.3,0.3,0.0,1.1,0,156.0,0.2424242424242424
9,38.3,21.4,67.8,1.1,0.3,0.2,0.0,0.7,0,155.4,0.43529411764705883
10,36.5,33.3,81.8,0.9,0.7,0.1,0.1,0.3,0,80.5,0.3333333333333333
11,39.8,13.6,77.6,1.2,0.4,0.3,0.1,0.6,1,144.0,0.5373134328358209
12,47.2,0.0,28.6,2.0,0.2,0.2,0.6,0.3,1,35.1,0.196969696969697
13,32.3,30.1,86.1,2.0,0.5,0.5,0.3,0.5,0,251.99999999999997,0.3660130718954248
14,53.7,0.0,50.0,1.4,0.2,0.2,0.4,0.6,1,105.6,0.37499999999999994
15,51.4,14.3,68.4,0.4,1.4,0.3,0.0,0.8,1,104.0,0.42622950819672134
16,37.6,0.0,64.2,1.2,0.2,0.3,0.2,0.5,0,102.9,0.39622641509433965
17,34.8,21.4,73.1,0.3,1.0,0.3,0.0,0.4,0,69.7,0.4047619047619047
18,49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,0,1574.3999999999999,0.5161290322580645
19,49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,1,1574.3999999999999,0.5161290322580645
20,52.5,11.1,65.4,8.0,2.4,1.1,0.8,2.2,1,1144.0,0.45541401273885357
21,48.9,16.7,66.6,5.1,2.5,1.5,0.3,2.2,1,1090.6000000000001,0.4360655737704918
22,37.5,13.3,73.0,2.9,2.2,2.0,0.2,2.0,1,805.6,0.3498349834983498
23,45.4,32.0,74.8,3.1,4.6,1.0,0.3,2.5,0,732.0,0.4054054054054054
24,53.3,0.0,62.5,5.2,0.4,0.5,0.5,1.0,0,201.6,0.4144736842105263
25,51.4,0.0,80.7,5.9,1.6,0.7,0.6,1.5,1,790.4,0.35494880546075086
26,45.1,43.4,83.6,1.9,3.7,0.6,0.0,1.8,0,483.6,0.3780487804878049
27,41.5,0.0,73.6,5.1,1.7,0.8,0.5,1.3,1,668.8000000000001,0.39111111111111113
28,44.7,39.0,74.1,3.0,2.2,1.2,0.3,1.2,0,787.8,0.45909090909090905
29,49.7,0.0,66.7,5.4,0.8,0.5,0.5,1.5,1,428.40000000000003,0.4057971014492754
30,55.2,0.0,57.2,6.4,0.5,0.4,1.2,0.8,1,396.8,0.3054187192118227
31,52.9,0.0,51.5,6.1,0.7,0.4,1.5,1.4,1,572.0,0.5123152709359606
32,41.9,4.3,80.6,2.0,3.9,1.0,0.3,1.7,1,606.8000000000001,0.37755102040816324
33,52.8,0.0,66.9,5.7,0.7,0.8,1.1,1.8,1,436.79999999999995,0.4814814814814815
34,30.2,18.5,91.2,1.4,3.1,0.6,0.2,1.0,0,146.2,0.3208955223880597
